station,Date,skyc1,skyc2,skyc3,skyl1,skyl2,skyl3,wxcodes
HUA,1/1/20 0:58,CLR,M,M,M,M,M,M
HUA,1/1/20 1:58,CLR,M,M,M,M,M,M
HUA,1/1/20 2:58,CLR,M,M,M,M,M,M
HUA,1/1/20 3:58,CLR,M,M,M,M,M,M
HUA,1/1/20 4:58,CLR,M,M,M,M,M,M
HUA,1/1/20 5:58,CLR,M,M,M,M,M,M
HUA,1/1/20 6:58,CLR,M,M,M,M,M,M
HUA,1/1/20 7:58,CLR,M,M,M,M,M,M
HUA,1/1/20 8:58,CLR,M,M,M,M,M,M
HUA,1/1/20 9:58,CLR,M,M,M,M,M,M
HUA,1/1/20 10:58,CLR,M,M,M,M,M,M
HUA,1/1/20 11:58,CLR,M,M,M,M,M,M
HUA,1/1/20 12:58,CLR,M,M,M,M,M,M
HUA,1/1/20 13:58,CLR,M,M,M,M,M,M
HUA,1/1/20 14:58,CLR,M,M,M,M,M,M
HUA,1/1/20 15:58,CLR,M,M,M,M,M,M
HUA,1/1/20 16:58,CLR,M,M,M,M,M,M
HUA,1/1/20 17:58,CLR,M,M,M,M,M,M
HUA,1/1/20 18:58,CLR,M,M,M,M,M,M
HUA,1/1/20 19:58,CLR,M,M,M,M,M,M
HUA,1/1/20 20:58,OVC,M,M,16000,M,M,M
HUA,1/1/20 21:58,OVC,M,M,15000,M,M,M
HUA,1/1/20 22:58,FEW,SCT,M,17000,25000,M,M
HUA,1/1/20 23:58,OVC,M,M,14000,M,M,M
HUA,1/2/20 0:58,FEW,SCT,SCT,14000,17000,24000,M
HUA,1/2/20 1:58,BKN,BKN,M,15000,23000,M,M
HUA,1/2/20 2:58,CLR,M,M,M,M,M,M
HUA,1/2/20 3:58,FEW,SCT,M,7000,16000,M,M
HUA,1/2/20 4:58,BKN,OVC,M,6000,15000,M,M
HUA,1/2/20 5:58,OVC,M,M,6000,M,M,M
HUA,1/2/20 6:58,BKN,OVC,M,4200,5000,M,M
HUA,1/2/20 7:58,OVC,M,M,3900,M,M,M
HUA,1/2/20 8:58,OVC,M,M,3700,M,M,M
HUA,1/2/20 9:58,BKN,OVC,M,2800,3500,M,#NAME?
HUA,1/2/20 10:58,OVC,M,M,2600,M,M,#NAME?
HUA,1/2/20 11:58,OVC,M,M,1600,M,M,#NAME?
HUA,1/2/20 12:28,OVC,M,M,1400,M,M,#NAME?
HUA,1/2/20 12:58,OVC,M,M,1100,M,M,#NAME?
HUA,1/2/20 13:38,BKN,OVC,M,700,1200,M,#NAME?
HUA,1/2/20 13:58,OVC,M,M,600,M,M,#NAME?
HUA,1/2/20 14:38,SCT,BKN,OVC,500,1200,3000,#NAME?
HUA,1/2/20 14:58,FEW,BKN,OVC,600,1400,7000,#NAME?
HUA,1/2/20 15:48,BKN,OVC,M,700,1200,M,#NAME?
HUA,1/2/20 15:58,BKN,OVC,M,600,1200,M,#NAME?
HUA,1/2/20 16:58,BKN,OVC,M,500,8500,M,#NAME?
HUA,1/2/20 17:48,OVC,M,M,700,M,M,#NAME?
HUA,1/2/20 17:58,OVC,M,M,700,M,M,#NAME?
HUA,1/2/20 18:08,OVC,M,M,600,M,M,#NAME?
HUA,1/2/20 18:18,BKN,OVC,M,500,1000,M,RA BR
HUA,1/2/20 18:28,BKN,OVC,M,400,1000,M,#NAME?
HUA,1/2/20 18:38,BKN,OVC,M,400,1100,M,#NAME?
HUA,1/2/20 18:48,OVC,M,M,400,M,M,#NAME?
HUA,1/2/20 18:58,OVC,M,M,500,M,M,#NAME?
HUA,1/2/20 19:08,OVC,M,M,500,M,M,#NAME?
HUA,1/2/20 19:18,OVC,M,M,400,M,M,#NAME?
HUA,1/2/20 19:38,OVC,M,M,400,M,M,RA BR
HUA,1/2/20 19:48,BKN,OVC,M,300,1400,M,#NAME?
HUA,1/2/20 19:58,OVC,M,M,400,M,M,#NAME?
HUA,1/2/20 20:18,OVC,M,M,500,M,M,#NAME?
HUA,1/2/20 20:38,OVC,M,M,400,M,M,#NAME?
HUA,1/2/20 20:58,OVC,M,M,400,M,M,#NAME?
HUA,1/2/20 21:08,OVC,M,M,500,M,M,#NAME?
HUA,1/2/20 21:58,OVC,M,M,600,M,M,M
HUA,1/2/20 22:08,BKN,OVC,M,700,1500,M,M
HUA,1/2/20 22:38,BKN,OVC,M,500,2000,M,#NAME?
HUA,1/2/20 22:48,BKN,OVC,M,400,2200,M,#NAME?
HUA,1/2/20 22:58,BKN,OVC,M,400,1800,M,RA BR
HUA,1/2/20 23:08,SCT,OVC,M,300,3100,M,RA BR
HUA,1/2/20 23:18,SCT,OVC,M,300,3100,M,RA BR VCTS
HUA,1/2/20 23:28,BKN,OVC,M,300,3700,M,RA BR
HUA,1/2/20 23:58,BKN,OVC,M,300,3700,M,#NAME?
HUA,1/3/20 0:18,BKN,BKN,OVC,500,1500,3600,#NAME?
HUA,1/3/20 0:58,BKN,OVC,M,400,2000,M,#NAME?
HUA,1/3/20 1:58,OVC,M,M,500,M,M,#NAME?
HUA,1/3/20 2:08,BKN,OVC,M,400,1800,M,#NAME?
HUA,1/3/20 2:18,SCT,OVC,M,300,2000,M,#NAME?
HUA,1/3/20 2:28,FEW,OVC,M,200,2400,M,#NAME?
HUA,1/3/20 2:33,FEW,OVC,M,200,3100,M,#NAME?
HUA,1/3/20 2:43,FEW,OVC,M,300,4000,M,RA BR VCTS
HUA,1/3/20 2:53,FEW,SCT,BKN,300,1400,2200,#NAME?
HUA,1/3/20 2:58,FEW,SCT,BKN,300,1400,2200,#NAME?
HUA,1/3/20 3:08,SCT,BKN,BKN,300,1400,2300,#NAME?
HUA,1/3/20 3:28,BKN,OVC,M,200,6000,M,RA BR
HUA,1/3/20 3:38,SCT,OVC,M,200,6000,M,RA BR
HUA,1/3/20 3:48,FEW,BKN,OVC,200,6500,10000,#NAME?
HUA,1/3/20 3:58,FEW,BKN,OVC,200,6000,10000,#NAME?
